"л"
"бутылка"
"зубчик"
"щепотка"
"пачка"
"пучок"
"банка"
"веточка"
"стакан"
"стручок"
"шт."
"пласт"
"звездочка"
"кг"
"тушка"
"батон"
"упаковка"
"мл"
"пакетик"
"г"
"горсть"
"кусок"
"по вкусу"
"стебель"
"ст. л."
"капля"
"пакет"
"долька"
"ч. л."
"лист"
